Last,First,Team,rushAtt,rushYards,100 yd,rushTD,Rec,recYards,100 yd,recTD,fumbles,0-9,19-Oct,20-29,30-39,40-49,50+,0-9,19-Oct,20-29,30-39,40-49,50+,0-9,19-Oct,20-29,30-39,40-49,50+,0-9,19-Oct,20-29,30-39,40-49,50+,Points,ADP,Age,Exp,ID,W1,W2,W3,W4,W5,W6,W7,W8,W9,W10,W11,W12,W13,W14,W15,W16,W17
Criner,Juron,Oak/5,0,0,0,0,28,378,0,2,0,0.7273,0.0979,0.0629,0.021,0.028,0.0629,0.2069,0.3103,0.2241,0.1379,0.0517,0.069,0,0,0,0,0,0,0.41,0.62,0.45,0.28,0.1,0.14,78,9999,23,1,CrinJu00,0.6,0.7,0.8,0.9,1,1,1,1,1,1,1,1,1,1,1,1,1
Cruz,Victor,NYG/11,2,12,0,0,78,1248,4,9,1,0.7273,0.0979,0.0629,0.021,0.028,0.0629,0.1238,0.2,0.14,0.19,0.1402,0.206,0,0,0,0,0,0,1.11,1.8,1.26,1.71,1.26,1.85,258,36,26,3,CruzVi00,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Decker,Eric,Den/7,1,3,0,0,64,883,2,7,1,0.7273,0.0979,0.0629,0.021,0.028,0.0629,0.2069,0.3103,0.2241,0.1379,0.0517,0.069,0,0,0,0,0,0,1.45,2.17,1.57,0.97,0.36,0.48,195,74,25,3,DeckEr00,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Doucet,Early,Ari/10,0,0,0,0,39,495,0,3,0,0.7273,0.0979,0.0629,0.021,0.028,0.0629,0.2069,0.3103,0.2241,0.1379,0.0517,0.069,0,0,0,0,0,0,0.62,0.93,0.67,0.41,0.16,0.21,106,9999,27,5,DoucEa00,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Douglas,Harry,Atl/7,1,3,0,0,37,459,0,2,0,0.7273,0.0979,0.0629,0.021,0.028,0.0629,0.2069,0.3103,0.2241,0.1379,0.0517,0.069,0,0,0,0,0,0,0.41,0.62,0.45,0.28,0.1,0.14,95,9999,27,5,DougHa00,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Driver,Donald,GB/10,0,0,0,0,15,182,0,2,0,0.7273,0.0979,0.0629,0.021,0.028,0.0629,0.2069,0.3103,0.2241,0.1379,0.0517,0.069,0,0,0,0,0,0,0.41,0.62,0.45,0.28,0.1,0.14,45,9999,37,14,DrivDo00,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Evans,Lee,Jac/6,0,0,0,0,11,152,0,1,0,0.7273,0.0979,0.0629,0.021,0.028,0.0629,0.2069,0.3103,0.2241,0.1379,0.0517,0.069,0,0,0,0,0,0,0.21,0.31,0.22,0.14,0.05,0.07,32,9999,31,9,EvanLe00,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Fitzgerald,Larry,Ari/10,0,0,0,0,85,1207,4,9,0,0.7273,0.0979,0.0629,0.021,0.028,0.0629,0.2069,0.3103,0.2241,0.1379,0.0517,0.069,0,0,0,0,0,0,1.86,2.79,2.02,1.24,0.47,0.62,260,12,29,9,FitzLa00,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Floyd,Malcom,SD/7,0,0,0,0,55,930,2,6,1,0.7273,0.0979,0.0629,0.021,0.028,0.0629,0.1238,0.2,0.14,0.19,0.1402,0.206,0,0,0,0,0,0,0.74,1.2,0.84,1.14,0.84,1.24,184,102,31,9,FloyMa00,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Floyd,Michael,Ari/10,1,4,0,0,52,686,1,4,1,0.7273,0.0979,0.0629,0.021,0.028,0.0629,0.2069,0.3103,0.2241,0.1379,0.0517,0.069,0,0,0,0,0,0,0.83,1.24,0.9,0.55,0.21,0.28,145,119,23,1,FloyMi00,0.6,0.7,0.8,0.9,1,1,1,1,1,1,1,1,1,1,1,1,1
Ford,Jacoby,Oak/5,6,42,0,0,37,500,0,3,0,0.7273,0.0979,0.0629,0.021,0.028,0.0629,0.2069,0.3103,0.2241,0.1379,0.0517,0.069,0,0,0,0,0,0,0.62,0.93,0.67,0.41,0.16,0.21,109,177,25,3,FordJa01,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Gaffney,Jabar,NE/9,0,0,0,0,13,176,0,2,0,0.7273,0.0979,0.0629,0.021,0.028,0.0629,0.2069,0.3103,0.2241,0.1379,0.0517,0.069,0,0,0,0,0,0,0.41,0.62,0.45,0.28,0.1,0.14,43,225,32,11,GaffJa00,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Garcon,Pierre,Was/10,4,28,0,0,59,802,1,6,1,0.7273,0.0979,0.0629,0.021,0.028,0.0629,0.2069,0.3103,0.2241,0.1379,0.0517,0.069,0,0,0,0,0,0,1.24,1.86,1.34,0.83,0.31,0.41,178,82,27,5,GarcPi00,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Gates,Clyde,Mia/7,1,5,0,0,33,396,0,3,0,0.7273,0.0979,0.0629,0.021,0.028,0.0629,0.2069,0.3103,0.2241,0.1379,0.0517,0.069,0,0,0,0,0,0,0.62,0.93,0.67,0.41,0.16,0.21,91,9999,26,2,GateEd00,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Gettis,David,Car/6,1,6,0,0,34,473,0,2,0,0.7273,0.0979,0.0629,0.021,0.028,0.0629,0.2069,0.3103,0.2241,0.1379,0.0517,0.069,0,0,0,0,0,0,0.41,0.62,0.45,0.28,0.1,0.14,94,9999,25,3,GettDa00,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
