PlayerName,Team,rush_att,rush_yds,rush_tds,rec_att,rec_yds,rec_tds,fumbles,fpts
Curtis McNeal,PIT,0,0,0,0,0,0,0,0
Jeremiah Johnson,DEN,0,0,0,0,0,0,0,0
Dominique Whaley,SEA,0,0,0,0,0,0,0,0
Cameron Marshall,MIA,0,0,0,0,0,0,0,0
Ray Graham,HOU,0,0,0,0,0,0,0,0
Marcus Lattimore,SF,0,0,0,0,0,0,0,0
Benny Cunningham,STL,0,0,0,0,0,0,0,0
Mossis Madu,FA,0,0,0,0,0,0,0,0
Tauren Poole,CAR,0,0,0,0,0,0,0,0
Ronnie Wingo,ATL,0,0,0,0,0,0,0,0
Jeff Demps,TB,0,0,0,0,0,0,0,0
Jordan Todman,JAC,0,0,0,0,0,0,0,0
Deji Karim,HOU,0,0,0,0,0,0,0,0
Khiry Robinson,NO,0,0,0,0,0,0,0,0
