RNK,"PLAYER, TEAM POS",    C/A,  YDS,   TD,  INT, RUSH,  YDS,   TD,  REC,  YDS,   TD,PTS
274,"Earl Bennett, Chi WR  Q",0/0,0,0,0,0,0,0,24,324,2,42
275,"Anthony Fasano, Mia TE",0/0,0,0,0,0,0,0,31,358,3,53
276,"Tony Moeaki, KC TE  P",0/0,0,0,0,0,0,0,38,397,2,51
277,"LaRod Stephens-Howling, Ari RB",0/0,0,0,0,0,0,0,0,0,0,0
278,"Mohamed Massaquoi, Cle WR  Q",0/0,0,0,0,0,0,0,40,507,1,56
279,"Steve Slaton, Mia RB",0/0,0,0,0,0,0,0,0,0,0,0
280,"Golden Tate, Sea WR",0/0,0,0,0,5,14,0,27,312,1,38
281,"Danario Alexander, StL WR  Q",0/0,0,0,0,0,0,0,26,376,2,49
282,"Brian Leonard, Cin RB",0/0,0,0,0,0,0,0,0,0,0,0
283,"Nate Kaeding, SD K  P",0/0,0,0,0,0,0,0,0,0,0,126
284,"Da'Rel Scott, NYG RB",0/0,0,0,0,0,0,0,0,0,0,0
285,"Randy Bullock, Hou K",0/0,0,0,0,0,0,0,0,0,0,123
286,"Brandon Saine, GB RB  Q",0/0,0,0,0,0,0,0,0,0,0,0
287,Chiefs D/ST D/ST,0/0,0,0,0,0,0,0,0,0,0,110
288,"Keiland Williams, Det RB",0/0,0,0,0,0,0,0,0,0,0,0
289,"Kellen Davis, Chi TE",0/0,0,0,0,0,0,0,21,252,4,49
290,"Chaz Schilens, NYJ WR  Q",0/0,0,0,0,0,0,0,23,308,1,36
291,"Chris Rainey, Pit RB",0/0,0,0,0,0,0,0,0,0,0,0
292,"Marcus Easley, Buf WR",0/0,0,0,0,0,0,0,24,331,1,39
293,"Jamie Harper, Ten RB",0/0,0,0,0,0,0,0,0,0,0,0
294,"Phillip Tanner*, Dal RB  O",0/0,0,0,0,0,0,0,0,0,0,0
295,"John Carlson, Min TE  Q",0/0,0,0,0,0,0,0,21,274,2,39
296,"Donnie Avery, Ind WR  Q",0/0,0,0,0,0,0,0,26,434,2,55
297,"Billy Cundiff, Bal K",0/0,0,0,0,0,0,0,0,0,0,119
298,"Dan Carpenter, Mia K",0/0,0,0,0,0,0,0,0,0,0,114
299,Cardinals D/ST D/ST,0/0,0,0,0,0,0,0,0,0,0,107
300,Giants D/ST D/ST,0/0,0,0,0,0,0,0,0,0,0,114
301,"Terrance Ganaway, NYJ RB",0/0,0,0,0,0,0,0,0,0,0,0
302,"Lex Hilliard, Min RB",0/0,0,0,0,0,0,0,0,0,0,0
303,"Benjamin Watson, Cle TE",0/0,0,0,0,0,0,0,35,346,2,46
304,"Greg Salas, StL WR",0/0,0,0,0,0,0,0,33,382,2,50
305,"Tony Scheffler, Det TE",0/0,0,0,0,0,0,0,28,341,3,52
306,"Steve Smith, StL WR",0/0,0,0,0,0,0,0,24,271,1,33
307,"Olindo Mare, Car K",0/0,0,0,0,0,0,0,0,0,0,113
308,Bengals D/ST D/ST,0/0,0,0,0,0,0,0,0,0,0,99
309,"Johnny White, Buf RB",0/0,0,0,0,0,0,0,0,0,0,0
310,"Matt Hasselbeck, Ten QB",174/289,1947,17,15,21,31,0,0,0,0,114
311,"Mewelde Moore, Ind RB  Q",0/0,0,0,0,0,0,0,0,0,0,0
312,"Blaine Gabbert, Jac QB",131/247,1413,12,9,47,114,1,0,0,0,95
313,"Anthony Dixon, SF RB",0/0,0,0,0,0,0,0,0,0,0,0
314,"DuJuan Harris, Jac RB",0/0,0,0,0,0,0,0,0,0,0,0
315,"Jordan Todman, Min RB  P",0/0,0,0,0,0,0,0,0,0,0,0
316,"Chad Henne, Jac QB",115/196,1310,12,8,18,99,1,0,0,0,91
317,"Ryan Broyles, Det WR  Q",0/0,0,0,0,0,0,0,27,304,1,34
318,"Jackie Battle, FA RB",0/0,0,0,0,0,0,0,0,0,0,0
319,"Lawrence Tynes, NYG K",0/0,0,0,0,0,0,0,0,0,0,111
320,"Cyrus Gray, KC RB",0/0,0,0,0,0,0,0,0,0,0,0
321,"Dallas Clark, TB TE",0/0,0,0,0,0,0,0,26,247,3,42
322,Rams D/ST D/ST,0/0,0,0,0,0,0,0,0,0,0,95
323,"John Skelton, Ari QB",111/206,1354,8,9,13,61,0,0,0,0,72
324,"David Garrard, Mia QB  Q",85/141,592,7,7,31,172,1,0,0,0,54
325,"Anthony Allen, Bal RB",0/0,0,0,0,0,0,0,0,0,0,0
326,"Dan Herron, Cin RB",0/0,0,0,0,0,0,0,0,0,0,0
327,"Armon Binns, Cin WR",0/0,0,0,0,0,0,0,20,267,1,32
328,"Josh Brown, NYJ K",0/0,0,0,0,0,0,0,0,0,0,108
329,Dolphins D/ST D/ST,0/0,0,0,0,0,0,0,0,0,0,98
